Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
50,0.15132175801512668,0.14922274595076926,0.15368095426048767,3.1423297422329393e-3,2.076370936863962e-3,4.462253167874137e-3
100,0.5689665191123913,0.5424069648178311,0.5903408823617903,3.3447845382413355e-2,0.0,3.7021483127392216e-2
150,0.9930817719603909,0.9615292899332584,1.008789569942688,2.7326022425357813e-2,0.0,2.744379779553088e-2
200,1.844790519699442,1.76782233370711,1.9102213329350102,0.10477694319915073,2.7194799110210365e-16,0.11332949290455399
250,2.7589503618715496,2.623055025437262,2.856259008919388,0.14700088622015042,0.0,0.16854352070264328
300,4.062649776096452,3.71784891244755,4.677790277285964,0.5340266807015824,0.0,0.554222405395715
350,5.388691384964496,4.64347302243217,6.0389307537191215,1.0536695378226646,0.0,1.1262476237645254
400,5.982448978076455,5.356254674367086,6.302503044319608,0.5427016375678474,0.0,0.5543499039021567
450,7.939883123364891,6.902846810602319,8.619361306035765,1.0196844639688536,0.0,1.176890735020521
500,53.40440074278995,8.411841812594423,76.34532720997089,38.98752579894615,0.0,39.73485021385897
