Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
50,4.1851933014124064e-2,4.0956237304491626e-2,4.2985644595983204e-2,2.0518521573704386e-3,1.372108711690432e-3,2.9122193961131173e-3
100,0.1740175678221795,0.16639127068746248,0.18613235004815745,1.2300838606251505e-2,6.194483607507529e-3,1.7675970171903546e-2
150,0.3813573707407729,0.3589332105855482,0.39563237280188485,2.1484078725731277e-2,0.0,2.4725028847996273e-2
200,0.6957489632866475,0.625405994368373,0.7411025162599948,6.814815206761357e-2,0.0,7.855465805360382e-2
250,1.0971879329116636,0.9785987520944947,1.1696336759710297,0.11001872885814863,0.0,0.12547970777090237
300,1.6094396141547664,1.4733841057740127,1.7419985326835166,0.22663134504819515,0.0,0.22959878188817853
350,2.1831495387990487,1.9967089438360366,2.51532943773027,0.28839515029318435,0.0,0.29942568175709244
400,2.8119309544599225,2.6118177718057676,3.191893568694999,0.3292132227966467,0.0,0.3349069174843844
450,3.848422119290954,3.3667904901864154,4.794721932164412,0.8195635677009263,0.0,0.824416602410327
500,9.248922664576133,4.19275991962909,14.278178510551825,8.687718342558801,0.0,8.710926649492698
