Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
deep,4.542457252485791e-2,4.42564227480526e-2,4.712041824037841e-2,2.8181940592019944e-3,2.079224537856713e-3,4.1408302612145394e-3
deep,0.1785524108498656,0.16995921578816056,0.18929656538932751,1.2848832733113701e-2,6.79878508014139e-3,1.8872388034130272e-2
deep,0.4041384603379301,0.35031890467237337,0.4373511724902723,5.029862083953285e-2,0.0,5.752610490501695e-2
deep,0.6683881879290393,0.5907459498022745,0.7188706197529804,7.579652890268805e-2,0.0,8.743813680869768e-2
deep,1.0424033494143108,0.9178684806199179,1.1164102311338782,0.11345497684165293,0.0,0.12818367924803106
deep,1.616155606857555,1.4710725277425842,1.7591644728902651,0.2459219831353103,0.0,0.24769862190146502
deep,2.165365924883042,1.9783514671414635,2.3441496222773885,0.30278621221569185,0.0,0.30966244745202787
deep,2.843537572965007,2.6319375993972667,3.042763981714175,0.33486919610728993,5.438959822042073e-16,0.34507026216304404
deep,3.8297766256130523,3.2716523663129764,4.368439817669491,0.916603197156344,0.0,0.9329920168089839
deep,81.786292478011,4.7031688268207485,158.82226054457803,133.38939152148978,3.4809342861069267e-14,133.43021070154765
