Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
deep,0.14114533671757976,0.1364190702959513,0.14587160313920824,6.571805343315257e-3,4.1781091566992345e-3,9.212012493716986e-3
deep,0.45336937848616404,0.42568229304104377,0.47624132440054723,3.6173741900460604e-2,6.798699777552591e-17,3.961537239167918e-2
deep,1.028322854139163,0.9648811314256548,1.1365367359331573,9.41797287703427e-2,0.0,9.910540947031451e-2
deep,1.6179484088473952,1.5775943369953958,1.6504052860216312,5.0778822810440896e-2,0.0,5.6216960320798856e-2
deep,2.37429776113888,2.2470821839506256,2.5865027227978374,0.184983707802511,0.0,0.19596453947192555
deep,3.5388099620992186,3.2021426563799387,3.8504514314433425,0.5194639818554919,0.0,0.5397788586494408
deep,4.712718266652591,4.146989519189737,5.267316792496806,0.9511003136365349,0.0,0.96059282456498
deep,5.461838400458955,4.105440257013792,6.260300108645672,1.2288327218217525,0.0,1.3829762464776283
deep,7.105124358449209,6.131282728122183,7.619242190285384,0.8473091172420707,0.0,0.8904782058174062
deep,13.657590254004567,6.333851230636806,17.668763085160677,6.428528621912537,0.0,6.947555141502276
