Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
500,4.823389185599926,4.676372517159398,4.963966293159538,0.23810587732081784,0.0,0.24348669267432133
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
500,5.069232861775828,4.935732594211944,5.190079696285121,0.19926067937749795,0.0,0.2093128573039624
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
500,4.677377992688933,4.47378494017701,4.825617270980056,0.22472196426415045,0.0,0.25675796167756837
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
500,4.372951001575953,4.202301722693924,4.492348305200799,0.17969251595009086,0.0,0.20680219616495799
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
500,4.089011908635257,3.939493164743428,4.197311275326146,0.16398558567349297,0.0,0.1875800055361508
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
500,4.3635731401218925,4.193865248132844,4.500485172739617,0.21445506731793926,0.0,0.2371385966614252
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
500,4.294664025964008,4.10867459194013,4.43814329277215,0.2210933289122935,0.0,0.24851337994443265
