Name,Nodes,Features,Configs,PresentConfigs,Mode,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_bunzip2.cfg,249,3,8,4,brute-force,1.33E-04,1.32E-04,1.33E-04,1.90E-06,1.44E-06,2.43E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_bunzip2.cfg,249,3,8,4,shallow,5.58E-05,5.54E-05,5.70E-05,2.24E-06,1.04E-06,4.06E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_bunzip2.cfg,249,3,8,4,deep,3.60E-04,3.55E-04,3.72E-04,2.38E-05,1.46E-05,3.93E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_uncompress.cfg,126,3,8,4,brute-force,7.20E-05,7.06E-05,7.51E-05,6.46E-06,2.38E-06,1.21E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_uncompress.cfg,126,3,8,4,shallow,2.64E-05,2.63E-05,2.66E-05,4.70E-07,3.56E-07,7.36E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_uncompress.cfg,126,3,8,4,deep,1.77E-04,1.76E-04,1.79E-04,5.31E-06,3.01E-06,9.68E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_unlzma.cfg,177,3,8,4,brute-force,9.53E-05,9.47E-05,9.61E-05,2.31E-06,1.47E-06,3.48E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_unlzma.cfg,177,3,8,4,shallow,3.85E-05,3.83E-05,3.89E-05,8.36E-07,5.03E-07,1.56E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_unlzma.cfg,177,3,8,4,deep,2.49E-04,2.47E-04,2.56E-04,1.20E-05,5.82E-06,2.27E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/filter_accept_all.cfg,106,2,4,2,brute-force,2.94E-05,2.92E-05,2.95E-05,5.17E-07,4.39E-07,6.33E-07
