Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"/mnt/f/code/busybox-1.18.5/applets/applets.cfg,93,2,4,3,/brute-force",2.8140384261113514e-5,2.7767370610035784e-5,2.863364889831387e-5,1.507456799885355e-6,1.2607786407861013e-6,1.9740439495625024e-6
"/mnt/f/code/busybox-1.18.5/applets/applets.cfg,93,2,4,3,/shallow",1.513146427249933e-5,1.5075979411381687e-5,1.5191386566398047e-5,1.9454371256120984e-7,1.616771218486159e-7,2.4399352018422454e-7
"/mnt/f/code/busybox-1.18.5/applets/applets.cfg,93,2,4,3,/deep",1.1422557373860425e-4,1.132264027577388e-4,1.1808121038718433e-4,6.1280742621341334e-6,1.6914793726443117e-6,1.2489850636869416e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"/mnt/f/code/busybox-1.18.5/archival/ar.cfg,193,1,2,2,/brute-force",2.2515657181584536e-5,2.2410469485666927e-5,2.264115095859957e-5,3.9166942285969067e-7,3.2243204442273203e-7,5.224308525149974e-7
"/mnt/f/code/busybox-1.18.5/archival/ar.cfg,193,1,2,2,/shallow",2.0890701588591197e-5,2.068653769299723e-5,2.1218772218698595e-5,8.61214175534992e-7,6.037967133181413e-7,1.2082715135351948e-6
"/mnt/f/code/busybox-1.18.5/archival/ar.cfg,193,1,2,2,/deep",2.4593365741391193e-4,2.443593780139969e-4,2.4870737191019787e-4,7.0554490802676476e-6,4.762461195961836e-6,1.0734517783894671e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"/mnt/f/code/busybox-1.18.5/archival/bbunzip.cfg,199,7,128,144,/brute-force",3.6792913211090798e-3,3.640486614666032e-3,3.7370365934465506e-3,1.5009331424209807e-4,1.0384897320394073e-4,2.3039174848881377e-4
"/mnt/f/code/busybox-1.18.5/archival/bbunzip.cfg,199,7,128,144,/shallow",1.8690153506247238e-3,1.8505128630760359e-3,1.8973108671700002e-3,7.156769178223149e-5,5.074369182803397e-5,1.0413804016747762e-4
"/mnt/f/code/busybox-1.18.5/archival/bbunzip.cfg,199,7,128,144,/deep",4.1173370489433334e-4,4.0945632658941143e-4,4.156985465984807e-4,9.263078397699798e-6,6.091755367377069e-6,1.5703063169765634e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"/mnt/f/code/busybox-1.18.5/archival/bzip2.cfg,1507,1,2,4,/brute-force",2.4912761304036595e-4,2.479436392066465e-4,2.508067971577012e-4,4.725842833643009e-6,3.08778929544541e-6,8.444624313598381e-6
"/mnt/f/code/busybox-1.18.5/archival/bzip2.cfg,1507,1,2,4,/shallow",5.008606086179356e-4,4.982154521571588e-4,5.056156574360226e-4,1.2194081497349275e-5,8.354174422789138e-6,1.982182997998531e-5
"/mnt/f/code/busybox-1.18.5/archival/bzip2.cfg,1507,1,2,4,/deep",2.664463609843822e-3,2.634704517651307e-3,2.7015749184092592e-3,1.1203197269238554e-4,8.578230958939432e-5,1.4389349134457188e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"/mnt/f/code/busybox-1.18.5/archival/dpkg.cfg,806,4,16,16,/brute-force",1.0975186215235137e-3,1.0900651654021812e-3,1.1144812968308883e-3,3.756490487743947e-5,1.7226212798064018e-5,7.405249420397966e-5
"/mnt/f/code/busybox-1.18.5/archival/dpkg.cfg,806,4,16,16,/shallow",1.0463354672818031e-3,1.0416847702289002e-3,1.050502366689518e-3,1.4376516889298813e-5,1.1655458956230931e-5,1.9200687406035027e-5
"/mnt/f/code/busybox-1.18.5/archival/dpkg.cfg,806,4,16,16,/deep",1.783064984954376e-3,1.7685317438775818e-3,1.8031260401809046e-3,5.8724269630839475e-5,4.036517863038453e-5,8.956060104785115e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"/mnt/f/code/busybox-1.18.5/archival/dpkg_deb.cfg,152,4,16,16,/brute-force",1.8697931505503397e-4,1.8572604103112489e-4,1.886510010057237e-4,4.837686063410485e-6,3.649161116671629e-6,7.302710050697607e-6
"/mnt/f/code/busybox-1.18.5/archival/dpkg_deb.cfg,152,4,16,16,/shallow",1.3882164207419193e-4,1.3814200680704146e-4,1.397767481599045e-4,2.6231512884043613e-6,2.0193185779980613e-6,3.926477804031179e-6
"/mnt/f/code/busybox-1.18.5/archival/dpkg_deb.cfg,152,4,16,16,/deep",1.8753286867986322e-4,1.8639018850607025e-4,1.894569127917458e-4,5.1312506513038495e-6,3.521326611305711e-6,7.8610110882207e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"/mnt/f/code/busybox-1.18.5/archival/gzip.cfg,775,2,4,4,/brute-force",2.0355034320041908e-4,2.0238126553934763e-4,2.0513462739995538e-4,4.461821750261638e-6,3.6386521631366817e-6,6.164848285540293e-6
"/mnt/f/code/busybox-1.18.5/archival/gzip.cfg,775,2,4,4,/shallow",1.9920194892475313e-4,1.982963679906145e-4,2.0056616684037873e-4,4.0516607392451674e-6,2.886884321288749e-6,5.543762754547984e-6
"/mnt/f/code/busybox-1.18.5/archival/gzip.cfg,775,2,4,4,/deep",1.0126548761721298e-3,1.0032933122153958e-3,1.0245866186776324e-3,3.5000809438769826e-5,2.595708453188628e-5,5.1088372870981984e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"/mnt/f/code/busybox-1.18.5/archival/libarchive/data_align.cfg,93,0,0,1,/brute-force",9.92715714537341e-9,9.842595314487004e-9,1.0064707784730506e-8,3.6722884644982625e-10,2.0148355871023566e-10,5.494910859316502e-10
"/mnt/f/code/busybox-1.18.5/archival/libarchive/data_align.cfg,93,0,0,1,/shallow",5.018938817124823e-6,4.9876441477875675e-6,5.053827759599208e-6,1.1242313191117388e-7,8.88296925512145e-8,1.4037596658299191e-7
"/mnt/f/code/busybox-1.18.5/archival/libarchive/data_align.cfg,93,0,0,1,/deep",1.1452382350311164e-4,1.1357291366442884e-4,1.1637541082628702e-4,4.068981307618627e-6,2.482707617287887e-6,7.182186663439102e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
